video_id,youtube_link,title,channel,views,sample_group,MODEL_performative_labor_prob,MODEL_performative_labor_pred,MODEL_emotional_bait_prob,MODEL_emotional_bait_pred,MODEL_narrative_conflict_prob,MODEL_narrative_conflict_pred,MODEL_challenge_format_prob,MODEL_challenge_format_pred,MODEL_commercial_content_prob,MODEL_commercial_content_pred,MODEL_privacy_violation_prob,MODEL_privacy_violation_pred,MODEL_exploitation_score,MODEL_overall_prediction,MODEL_confidence,MODEL_n_dims_flagged,,HUMAN_performative_labor,HUMAN_emotional_bait,HUMAN_narrative_conflict,HUMAN_challenge_format,HUMAN_commercial_content,HUMAN_privacy_violation,HUMAN_overall_exploitative,HUMAN_notes
BHN8d3or0So,https://www.youtube.com/watch?v=BHN8d3or0So,KAREN vs EDGAR,crazygorilla,942927,high_conf_exploit,0.995,YES,0.887,YES,1.0,YES,0.997,YES,0.331,NO,0.374,NO,0.764,EXPLOITATIVE,0.725,4,,,,,,,,,
TTjTKJfRVko,https://www.youtube.com/watch?v=TTjTKJfRVko,Black Friday Shopping Haul,jacyandkacy,60580,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
aOyjz1rW2a4,https://www.youtube.com/watch?v=aOyjz1rW2a4,TRAPPED in a CLAW MACHINE!,shotofyeagers,950052,high_conf_exploit,0.998,YES,0.887,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.743,EXPLOITATIVE,0.682,4,,,,,,,,,
BRfFd-6U2T4,https://www.youtube.com/watch?v=BRfFd-6U2T4,Who Has The BEST Night Time Routine?,theadventurers,63312,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
Hbv5X9z6xn4,https://www.youtube.com/watch?v=Hbv5X9z6xn4,HOW to PAiNT a BiRD HOUSE!! Adley finds Hidden Baby Robin Eggs in the Backyard! Crafts with Niko!,aforadley,25680335,random,0.623,YES,0.78,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.934,YES,0.5,ABSTAIN,0.64,EXPLOITATIVE,0.279,3,,,,,,,,,
gDp1EqM9yYo,https://www.youtube.com/watch?v=gDp1EqM9yYo,KING OF THE MOUNTAIN | Don't Fall off the FLOATY challenge!,ohanaboys,19315,random,1.0,YES,0.5,ABSTAIN,0.868,YES,1.0,YES,0.501,YES,0.374,NO,0.707,EXPLOITATIVE,0.498,4,,,,,,,,,
P0pHKo_NUwo,https://www.youtube.com/watch?v=P0pHKo_NUwo,"Relax,Take a Deep Breath #chiropracticadjustment",bonniehoellein,12282,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
NXhpDEhOuCI,https://www.youtube.com/watch?v=NXhpDEhOuCI,Nastya is helping her little friend find a super nanny,likenastya,6127966,random,0.953,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.522,EXPLOITATIVE,0.396,2,,,,,,,,,
hxXoo_xnDno,https://www.youtube.com/watch?v=hxXoo_xnDno,Surviving the World's Strictest Brother!,theskorys,37236,random,0.995,YES,0.707,YES,1.0,YES,0.268,NO,0.331,NO,0.374,NO,0.612,EXPLOITATIVE,0.576,3,,,,,,,,,
Z35QaBUBT5M,https://www.youtube.com/watch?v=Z35QaBUBT5M,What I got for my 12th Birthday!!,karinakurzawa,4294927,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.324,CLEAN,0.351,0,,,,,,,,,
9tFnPBChkTA,https://www.youtube.com/watch?v=9tFnPBChkTA,My Daughter Sings You Make me Feel,funsquadfamily,150330,random,0.994,YES,0.5,ABSTAIN,0.868,YES,1.0,YES,0.501,YES,0.374,NO,0.706,EXPLOITATIVE,0.496,4,,,,,,,,,
0EhEeLkdFuU,https://www.youtube.com/watch?v=0EhEeLkdFuU,PinK VS BlacK WedNesday AdaMs Vs Me In My ColOr!,tannerites,10730837,high_conf_exploit,0.995,YES,0.707,YES,1.0,YES,1.0,YES,0.876,YES,0.374,NO,0.825,EXPLOITATIVE,0.734,5,,,,,,,,,
7dnFIScYLDQ,https://www.youtube.com/watch?v=7dnFIScYLDQ,HIGH SCHOOL GRADUATION 2016!!! BRANSON DID IT!!,tannerites,113972,high_conf_clean,0.0,NO,0.92,YES,0.305,NO,0.268,NO,0.876,YES,0.374,NO,0.457,CLEAN,0.616,2,,,,,,,,,
s47EgMpOxBo,https://www.youtube.com/watch?v=s47EgMpOxBo,Surprising My Girlfriend With A Boo Basket...,brockandboston,172521,high_conf_exploit,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,1.0,YES,0.998,YES,0.512,EXPLOITATIVE,0.642,2,,,,,,,,,
YyFhx8pFTBU,https://www.youtube.com/watch?v=YyFhx8pFTBU,Last To Leave The Backyard Wins!,thatyoutub3family,168507,random,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.713,EXPLOITATIVE,0.623,4,,,,,,,,,
KS2TNpULDLk,https://www.youtube.com/watch?v=KS2TNpULDLk,Best of Bratayley (WK 33),hayleyleblanc,54897,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.296,CLEAN,0.407,0,,,,,,,,,
EO47tChpE1E,https://www.youtube.com/watch?v=EO47tChpE1E,Surprised My Daughter With Her Dream Room Makeover! 🩷,dailybumps,43340,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.894,YES,0.374,NO,0.473,CLEAN,0.649,2,,,,,,,,,
4o9ruQyS2Xo,https://www.youtube.com/watch?v=4o9ruQyS2Xo,Bratayley and the Kellogg's Tour of Gymnastics Champions 2016 (WK 306.3) | Bratayley,bratayley,405385,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
XrwQ0TAwyOw,https://www.youtube.com/watch?v=XrwQ0TAwyOw,Check Check ✔✔ (WK 334.3) | Bratayley,bratayley,1873934,low_confidence,0.953,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.268,NO,0.945,YES,0.374,NO,0.59,EXPLOITATIVE,0.419,2,,,,,,,,,
Wy59_aWDm6o,https://www.youtube.com/watch?v=Wy59_aWDm6o,IS MY DOG GOING TO BE OKAY? | We Are The Davises,wearethedavises,1930905,low_confidence,0.0,NO,1.0,YES,0.5,ABSTAIN,0.268,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.461,CLEAN,0.411,1,,,,,,,,,
SA_g-9rRynM,https://www.youtube.com/watch?v=SA_g-9rRynM,Trying McDonald's Strawberry Shortcake McFlurry & Strawberry Cream Pie Q & A,ourfamilynest,16389,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
n9oOWV6TLAU,https://www.youtube.com/watch?v=n9oOWV6TLAU,FIRST DATE PRANK Revenge On My Intern 😂 *Will They Kiss?*,jordanmatter,1962753,high_conf_exploit,1.0,YES,0.707,YES,1.0,YES,0.268,NO,1.0,YES,0.5,ABSTAIN,0.746,EXPLOITATIVE,0.646,4,,,,,,,,,
aIiQRPmihyU,https://www.youtube.com/watch?v=aIiQRPmihyU,😥GOODBYE BEACH💦,jhousevlogs,144968,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.491,CLEAN,0.684,2,,,,,,,,,
q5pEQLw_UuI,https://www.youtube.com/watch?v=q5pEQLw_UuI,Flying to UK || Large FAm of 7 ROAD Trip!,ohanaadventure,361473,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
PKnKRbybgRg,https://www.youtube.com/watch?v=PKnKRbybgRg,Family Game Night! Wordsmithery!,thatyoutub3family,24393,low_confidence,0.002,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.331,NO,0.374,NO,0.368,CLEAN,0.264,0,,,,,,,,,
8JpKXOG9nI4,https://www.youtube.com/watch?v=8JpKXOG9nI4,Nastya helps her friend to behave fairly with other kids,likenastya,33923522,low_confidence,0.953,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.268,NO,0.5,ABSTAIN,0.374,NO,0.516,EXPLOITATIVE,0.27,1,,,,,,,,,
