video_id,youtube_link,title,channel,views,sample_group,MODEL_performative_labor_prob,MODEL_performative_labor_pred,MODEL_emotional_bait_prob,MODEL_emotional_bait_pred,MODEL_narrative_conflict_prob,MODEL_narrative_conflict_pred,MODEL_challenge_format_prob,MODEL_challenge_format_pred,MODEL_commercial_content_prob,MODEL_commercial_content_pred,MODEL_privacy_violation_prob,MODEL_privacy_violation_pred,MODEL_exploitation_score,MODEL_overall_prediction,MODEL_confidence,MODEL_n_dims_flagged,Human Labeled,Note
HXX-eWW5dgw,https://www.youtube.com/watch?v=HXX-eWW5dgw,😥SICK SUNDAY!!,tannerites,48233,high_conf_exploit,0.0,NO,1.0,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,1.0,YES,0.516,EXPLOITATIVE,0.634,2,,
xIZZjtycXwU,https://www.youtube.com/watch?v=xIZZjtycXwU,SHE HAS BEEN WAITING 2 YEARS FOR THIS?!,thesacconejolys,195762,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.491,CLEAN,0.684,2,,
EI6rU9ayylw,https://www.youtube.com/watch?v=EI6rU9ayylw,Most Tickets From The Arcade Wins! Family Activity Wars!,theadventurers,35749,high_conf_exploit,0.985,YES,0.5,ABSTAIN,1.0,YES,1.0,YES,0.876,YES,0.374,NO,0.789,EXPLOITATIVE,0.662,4,,
8JpKXOG9nI4,https://www.youtube.com/watch?v=8JpKXOG9nI4,Nastya helps her friend to behave fairly with other kids,likenastya,33923522,random,0.953,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.268,NO,0.5,ABSTAIN,0.374,NO,0.516,EXPLOITATIVE,0.27,1,,
j4tm-_eIDlI,https://www.youtube.com/watch?v=j4tm-_eIDlI,Recreate This Slime! Ty's Slime!,theadventurers,54925,low_confidence,0.981,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.46,CLEAN,0.401,1,,
twkACnlQk-o,https://www.youtube.com/watch?v=twkACnlQk-o,Disgusting! Tastes like Slime!,ourfamilynest,8480,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.491,CLEAN,0.684,2,,
zZb5XE0Tquo,https://www.youtube.com/watch?v=zZb5XE0Tquo,Homesick 😭,theleray,48419,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.484,CLEAN,0.698,2,,
w_E6NEjuQbo,https://www.youtube.com/watch?v=w_E6NEjuQbo,Surprising Audrey and Spencer!,thatyoutub3family,178684,low_confidence,0.981,YES,0.707,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.331,NO,0.374,NO,0.565,EXPLOITATIVE,0.327,2,,
pX50RmbpDEo,https://www.youtube.com/watch?v=pX50RmbpDEo,Destroying Our House To Find This Hidden Inside! The Visitors (File 20),theadventurers,124011,low_confidence,0.981,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.501,YES,0.374,NO,0.555,EXPLOITATIVE,0.349,3,,
i35m13SLONE,https://www.youtube.com/watch?v=i35m13SLONE,Marshalls Fall Clothing Shopping Haul,jacyandkacy,40041,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,
yfaSzNPjcYY,https://www.youtube.com/watch?v=yfaSzNPjcYY,BANNED ROBLOX GAME! My Eyes Deceive Me (FGTeeV's Find My Dad Adventure),fgteev,1176916,high_conf_exploit,0.995,YES,0.707,YES,0.868,YES,0.268,NO,0.992,YES,0.374,NO,0.701,EXPLOITATIVE,0.64,4,,
YMS4oP0qON4,https://www.youtube.com/watch?v=YMS4oP0qON4,6 Year Olds First Visit to the DENTIST in Dubai!,inghamfamily,20643,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.67,YES,0.999,YES,0.413,CLEAN,0.619,2,,
poh-szsKT38,https://www.youtube.com/watch?v=poh-szsKT38,HAVING ANOTHER BABY!!!!? 👶 🍼,dailybumps,1265877,high_conf_clean,0.0,NO,0.965,YES,0.305,NO,0.268,NO,0.945,YES,0.5,ABSTAIN,0.497,CLEAN,0.612,2,,
cqTR56kupLw,https://www.youtube.com/watch?v=cqTR56kupLw,Mike teaches Uncle to choose healthy food and stay fit,vladandniki,5280550,low_confidence,0.953,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.501,YES,0.374,NO,0.551,EXPLOITATIVE,0.34,3,,
vPZI6W58b8s,https://www.youtube.com/watch?v=vPZI6W58b8s,Trying Foods We Don't Like!,theadventurers,66724,low_confidence,0.998,YES,0.707,YES,0.305,NO,0.5,ABSTAIN,0.331,NO,0.374,NO,0.536,EXPLOITATIVE,0.398,2,,
